,01,02,03,04,05,06,07,08,09,10,11,12
A,,3S-H_Glc,2S-H_Glc,1S-H_Glc,3P-H_Glc,2P-H_Glc,1P-H_Glc,3M-H_Glc,2M-H_Glc,1M-H_Glc,Glc_Spc,
B,,3S-H_CAA,2S-H_CAA,1S-H_CAA,3P-H_CAA,2P-H_CAA,1P-H_CAA,3M-H_CAA,2M-H_CAA,1M-H_CAA,CAA_Spc,
C,,3S-M_Glc,2S-M_Glc,1S-M_CAA,3P-M_Glc,2P-M_Glc,1P-M_Glc,3M-M_Glc,2M-M_Glc,1M-M_Glc,Glc,
D,,3S-M_CAA,2S-M_CAA,1S-M_Glc,3P-M_CAA,2P-M_CAA,1P-M_CAA,3M-M_CAA,2M-M_CAA,1M-M_CAA,CAA,
E,,3S-O_Glc,2S-O_Glc,1S-O_Glc,3P-O_Glc,2P-O_Glc,1P-O_Glc,3M-O_Glc,2M-O_Glc,1M-O_Glc,,
F,,3S-O_CAA,2S-O_CAA,1S-O_CAA,3P-O_CAA,2P-O_CAA,1P-O_CAA,3M-O_CAA,2M-O_CAA,1M-O_CAA,,
G,,3S_Glc,2S_Glc,1S_Glc,3P_Glc,2P_Glc,1P_Glc,3M_Glc,2M_Glc,1M_Glc,,
H,,3S_CAA,2S_CAA,1S_CAA,3P_CAA,2P_CAA,1P_CAA,3M_CAA,2M_CAA,1M_CAA,,
