Sample,Plate,Row,Column,Well,Measurement,Value
3S-H_Glc,4_11947,A,2,A02,Meas A,423.0
2S-H_Glc,4_11947,A,3,A03,Meas A,410.0
1S-H_Glc,4_11947,A,4,A04,Meas A,515.0
3P-H_Glc,4_11947,A,5,A05,Meas A,470.0
2P-H_Glc,4_11947,A,6,A06,Meas A,413.0
1P-H_Glc,4_11947,A,7,A07,Meas A,536.0
3M-H_Glc,4_11947,A,8,A08,Meas A,552.0
2M-H_Glc,4_11947,A,9,A09,Meas A,548.0
1M-H_Glc,4_11947,A,10,A10,Meas A,536.0
Glc_Spc,4_11947,A,11,A11,Meas A,607.0
3S-H_CAA,4_11947,B,2,B02,Meas A,545.0
2S-H_CAA,4_11947,B,3,B03,Meas A,502.0
1S-H_CAA,4_11947,B,4,B04,Meas A,735.0
3P-H_CAA,4_11947,B,5,B05,Meas A,646.0
2P-H_CAA,4_11947,B,6,B06,Meas A,482.0
1P-H_CAA,4_11947,B,7,B07,Meas A,587.0
3M-H_CAA,4_11947,B,8,B08,Meas A,574.0
2M-H_CAA,4_11947,B,9,B09,Meas A,679.0
1M-H_CAA,4_11947,B,10,B10,Meas A,675.0
CAA_Spc,4_11947,B,11,B11,Meas A,437.0
3S-M_Glc,4_11947,C,2,C02,Meas A,538.0
2S-M_Glc,4_11947,C,3,C03,Meas A,529.0
1S-M_Glc,4_11947,C,4,C04,Meas A,532.0
3P-M_Glc,4_11947,C,5,C05,Meas A,509.0
2P-M_Glc,4_11947,C,6,C06,Meas A,547.0
1P-M_Glc,4_11947,C,7,C07,Meas A,583.0
3M-M_Glc,4_11947,C,8,C08,Meas A,542.0
2M-M_Glc,4_11947,C,9,C09,Meas A,614.0
1M-M_Glc,4_11947,C,10,C10,Meas A,534.0
Glc,4_11947,C,11,C11,Meas A,580.0
3S-M_CAA,4_11947,D,2,D02,Meas A,601.0
2S-M_CAA,4_11947,D,3,D03,Meas A,558.0
1S-M_CAA,4_11947,D,4,D04,Meas A,670.0
3P-M_CAA,4_11947,D,5,D05,Meas A,572.0
2P-M_CAA,4_11947,D,6,D06,Meas A,621.0
1P-M_CAA,4_11947,D,7,D07,Meas A,633.0
3M-M_CAA,4_11947,D,8,D08,Meas A,601.0
2M-M_CAA,4_11947,D,9,D09,Meas A,644.0
1M-M_CAA,4_11947,D,10,D10,Meas A,724.0
CAA,4_11947,D,11,D11,Meas A,425.0
3S-O_Glc,4_11947,E,2,E02,Meas A,490.0
2S-O_Glc,4_11947,E,3,E03,Meas A,461.0
1S-O_Glc,4_11947,E,4,E04,Meas A,459.0
3P-O_Glc,4_11947,E,5,E05,Meas A,537.0
2P-O_Glc,4_11947,E,6,E06,Meas A,532.0
1P-O_Glc,4_11947,E,7,E07,Meas A,533.0
3M-O_Glc,4_11947,E,8,E08,Meas A,483.0
2M-O_Glc,4_11947,E,9,E09,Meas A,500.0
1M-O_Glc,4_11947,E,10,E10,Meas A,542.0
3S-O_CAA,4_11947,F,2,F02,Meas A,618.0
2S-O_CAA,4_11947,F,3,F03,Meas A,677.0
1S-O_CAA,4_11947,F,4,F04,Meas A,724.0
3P-O_CAA,4_11947,F,5,F05,Meas A,645.0
2P-O_CAA,4_11947,F,6,F06,Meas A,642.0
1P-O_CAA,4_11947,F,7,F07,Meas A,845.0
3M-O_CAA,4_11947,F,8,F08,Meas A,603.0
2M-O_CAA,4_11947,F,9,F09,Meas A,759.0
1M-O_CAA,4_11947,F,10,F10,Meas A,751.0
3S_Glc,4_11947,G,2,G02,Meas A,499.0
2S_Glc,4_11947,G,3,G03,Meas A,424.0
1S_Glc,4_11947,G,4,G04,Meas A,598.0
3P_Glc,4_11947,G,5,G05,Meas A,562.0
2P_Glc,4_11947,G,6,G06,Meas A,636.0
1P_Glc,4_11947,G,7,G07,Meas A,511.0
3M_Glc,4_11947,G,8,G08,Meas A,544.0
2M_Glc,4_11947,G,9,G09,Meas A,563.0
1M_Glc,4_11947,G,10,G10,Meas A,478.0
3S_CAA,4_11947,H,2,H02,Meas A,502.0
2S_CAA,4_11947,H,3,H03,Meas A,862.0
1S_CAA,4_11947,H,4,H04,Meas A,708.0
3P_CAA,4_11947,H,5,H05,Meas A,632.0
2P_CAA,4_11947,H,6,H06,Meas A,681.0
1P_CAA,4_11947,H,7,H07,Meas A,706.0
3M_CAA,4_11947,H,8,H08,Meas A,587.0
2M_CAA,4_11947,H,9,H09,Meas A,1004.0
1M_CAA,4_11947,H,10,H10,Meas A,747.0
3S-H_Glc,4_11947,A,2,A02,Meas B,0.047
2S-H_Glc,4_11947,A,3,A03,Meas B,0.047
1S-H_Glc,4_11947,A,4,A04,Meas B,0.046
3P-H_Glc,4_11947,A,5,A05,Meas B,0.048
2P-H_Glc,4_11947,A,6,A06,Meas B,0.048
1P-H_Glc,4_11947,A,7,A07,Meas B,0.045
3M-H_Glc,4_11947,A,8,A08,Meas B,0.046
2M-H_Glc,4_11947,A,9,A09,Meas B,0.045
1M-H_Glc,4_11947,A,10,A10,Meas B,0.047
Glc_Spc,4_11947,A,11,A11,Meas B,0.042
