Sample,Plate,Row,Column,Well,Measurement,Value
3S-H_Glc,2_11938,A,2,A02,Meas A,339.0
2S-H_Glc,2_11938,A,3,A03,Meas A,375.0
1S-H_Glc,2_11938,A,4,A04,Meas A,358.0
3P-H_Glc,2_11938,A,5,A05,Meas A,384.0
2P-H_Glc,2_11938,A,6,A06,Meas A,278.0
1P-H_Glc,2_11938,A,7,A07,Meas A,415.0
3M-H_Glc,2_11938,A,8,A08,Meas A,362.0
2M-H_Glc,2_11938,A,9,A09,Meas A,341.0
1M-H_Glc,2_11938,A,10,A10,Meas A,328.0
Glc_Spc,2_11938,A,11,A11,Meas A,360.0
3S-H_CAA,2_11938,B,2,B02,Meas A,412.0
2S-H_CAA,2_11938,B,3,B03,Meas A,402.0
1S-H_CAA,2_11938,B,4,B04,Meas A,384.0
3P-H_CAA,2_11938,B,5,B05,Meas A,339.0
2P-H_CAA,2_11938,B,6,B06,Meas A,275.0
1P-H_CAA,2_11938,B,7,B07,Meas A,282.0
3M-H_CAA,2_11938,B,8,B08,Meas A,416.0
2M-H_CAA,2_11938,B,9,B09,Meas A,433.0
1M-H_CAA,2_11938,B,10,B10,Meas A,391.0
CAA_Spc,2_11938,B,11,B11,Meas A,342.0
3S-M_Glc,2_11938,C,2,C02,Meas A,423.0
2S-M_Glc,2_11938,C,3,C03,Meas A,365.0
1S-M_CAA,2_11938,C,4,C04,Meas A,311.0
3P-M_Glc,2_11938,C,5,C05,Meas A,324.0
2P-M_Glc,2_11938,C,6,C06,Meas A,433.0
1P-M_Glc,2_11938,C,7,C07,Meas A,340.0
3M-M_Glc,2_11938,C,8,C08,Meas A,407.0
2M-M_Glc,2_11938,C,9,C09,Meas A,354.0
1M-M_Glc,2_11938,C,10,C10,Meas A,353.0
Glc,2_11938,C,11,C11,Meas A,391.0
3S-M_CAA,2_11938,D,2,D02,Meas A,390.0
2S-M_CAA,2_11938,D,3,D03,Meas A,392.0
1S-M_Glc,2_11938,D,4,D04,Meas A,372.0
