Sample,Plate,Row,Column,Well,Measurement,Value
3S-H_Glc,4_11940,A,2,A02,Meas A,426.0
2S-H_Glc,4_11940,A,3,A03,Meas A,373.0
1S-H_Glc,4_11940,A,4,A04,Meas A,410.0
3P-H_Glc,4_11940,A,5,A05,Meas A,423.0
2P-H_Glc,4_11940,A,6,A06,Meas A,419.0
1P-H_Glc,4_11940,A,7,A07,Meas A,362.0
3M-H_Glc,4_11940,A,8,A08,Meas A,421.0
2M-H_Glc,4_11940,A,9,A09,Meas A,378.0
1M-H_Glc,4_11940,A,10,A10,Meas A,433.0
Glc_Spc,4_11940,A,11,A11,Meas A,403.0
3S-H_CAA,4_11940,B,2,B02,Meas A,434.0
2S-H_CAA,4_11940,B,3,B03,Meas A,408.0
1S-H_CAA,4_11940,B,4,B04,Meas A,423.0
3P-H_CAA,4_11940,B,5,B05,Meas A,401.0
2P-H_CAA,4_11940,B,6,B06,Meas A,412.0
1P-H_CAA,4_11940,B,7,B07,Meas A,377.0
3M-H_CAA,4_11940,B,8,B08,Meas A,441.0
2M-H_CAA,4_11940,B,9,B09,Meas A,453.0
1M-H_CAA,4_11940,B,10,B10,Meas A,396.0
CAA_Spc,4_11940,B,11,B11,Meas A,440.0
3S-M_Glc,4_11940,C,2,C02,Meas A,470.0
2S-M_Glc,4_11940,C,3,C03,Meas A,424.0
1S-M_Glc,4_11940,C,4,C04,Meas A,415.0
3P-M_Glc,4_11940,C,5,C05,Meas A,420.0
2P-M_Glc,4_11940,C,6,C06,Meas A,451.0
1P-M_Glc,4_11940,C,7,C07,Meas A,471.0
3M-M_Glc,4_11940,C,8,C08,Meas A,382.0
2M-M_Glc,4_11940,C,9,C09,Meas A,509.0
1M-M_Glc,4_11940,C,10,C10,Meas A,508.0
Glc,4_11940,C,11,C11,Meas A,430.0
3S-M_CAA,4_11940,D,2,D02,Meas A,383.0
2S-M_CAA,4_11940,D,3,D03,Meas A,366.0
1S-M_CAA,4_11940,D,4,D04,Meas A,456.0
3P-M_CAA,4_11940,D,5,D05,Meas A,372.0
2P-M_CAA,4_11940,D,6,D06,Meas A,538.0
1P-M_CAA,4_11940,D,7,D07,Meas A,430.0
3M-M_CAA,4_11940,D,8,D08,Meas A,383.0
2M-M_CAA,4_11940,D,9,D09,Meas A,412.0
1M-M_CAA,4_11940,D,10,D10,Meas A,493.0
CAA,4_11940,D,11,D11,Meas A,447.0
3S-O_Glc,4_11940,E,2,E02,Meas A,460.0
2S-O_Glc,4_11940,E,3,E03,Meas A,425.0
1S-O_Glc,4_11940,E,4,E04,Meas A,453.0
3P-O_Glc,4_11940,E,5,E05,Meas A,439.0
2P-O_Glc,4_11940,E,6,E06,Meas A,446.0
1P-O_Glc,4_11940,E,7,E07,Meas A,398.0
3M-O_Glc,4_11940,E,8,E08,Meas A,387.0
2M-O_Glc,4_11940,E,9,E09,Meas A,421.0
1M-O_Glc,4_11940,E,10,E10,Meas A,394.0
3S-O_CAA,4_11940,F,2,F02,Meas A,407.0
