Sample,Plate,Row,Column,Well,Measurement,Value
3S-H_Glc,2_11950,A,2,A02,Meas A,195.0
2S-H_Glc,2_11950,A,3,A03,Meas A,197.0
1S-H_Glc,2_11950,A,4,A04,Meas A,173.0
3P-H_Glc,2_11950,A,5,A05,Meas A,206.0
2P-H_Glc,2_11950,A,6,A06,Meas A,263.0
1P-H_Glc,2_11950,A,7,A07,Meas A,276.0
3M-H_Glc,2_11950,A,8,A08,Meas A,257.0
2M-H_Glc,2_11950,A,9,A09,Meas A,156.0
1M-H_Glc,2_11950,A,10,A10,Meas A,187.0
Glc_Spc,2_11950,A,11,A11,Meas A,147.0
3S-H_CAA,2_11950,B,2,B02,Meas A,463.0
2S-H_CAA,2_11950,B,3,B03,Meas A,303.0
1S-H_CAA,2_11950,B,4,B04,Meas A,691.0
3P-H_CAA,2_11950,B,5,B05,Meas A,513.0
2P-H_CAA,2_11950,B,6,B06,Meas A,191.0
1P-H_CAA,2_11950,B,7,B07,Meas A,563.0
3M-H_CAA,2_11950,B,8,B08,Meas A,518.0
2M-H_CAA,2_11950,B,9,B09,Meas A,523.0
1M-H_CAA,2_11950,B,10,B10,Meas A,636.0
CAA_Spc,2_11950,B,11,B11,Meas A,189.0
3S-M_Glc,2_11950,C,2,C02,Meas A,248.0
2S-M_Glc,2_11950,C,3,C03,Meas A,223.0
1S-M_CAA,2_11950,C,4,C04,Meas A,744.0
3P-M_Glc,2_11950,C,5,C05,Meas A,290.0
2P-M_Glc,2_11950,C,6,C06,Meas A,146.0
1P-M_Glc,2_11950,C,7,C07,Meas A,316.0
3M-M_Glc,2_11950,C,8,C08,Meas A,137.0
2M-M_Glc,2_11950,C,9,C09,Meas A,213.0
1M-M_Glc,2_11950,C,10,C10,Meas A,179.0
Glc,2_11950,C,11,C11,Meas A,270.0
3S-M_CAA,2_11950,D,2,D02,Meas A,479.0
2S-M_CAA,2_11950,D,3,D03,Meas A,387.0
1S-M_Glc,2_11950,D,4,D04,Meas A,116.0
3P-M_CAA,2_11950,D,5,D05,Meas A,407.0
2P-M_CAA,2_11950,D,6,D06,Meas A,160.0
1P-M_CAA,2_11950,D,7,D07,Meas A,689.0
3M-M_CAA,2_11950,D,8,D08,Meas A,422.0
2M-M_CAA,2_11950,D,9,D09,Meas A,518.0
1M-M_CAA,2_11950,D,10,D10,Meas A,622.0
CAA,2_11950,D,11,D11,Meas A,168.0
3S-O_Glc,2_11950,E,2,E02,Meas A,217.0
2S-O_Glc,2_11950,E,3,E03,Meas A,176.0
1S-O_Glc,2_11950,E,4,E04,Meas A,167.0
3P-O_Glc,2_11950,E,5,E05,Meas A,230.0
2P-O_Glc,2_11950,E,6,E06,Meas A,217.0
1P-O_Glc,2_11950,E,7,E07,Meas A,179.0
3M-O_Glc,2_11950,E,8,E08,Meas A,253.0
2M-O_Glc,2_11950,E,9,E09,Meas A,317.0
1M-O_Glc,2_11950,E,10,E10,Meas A,214.0
3S-O_CAA,2_11950,F,2,F02,Meas A,621.0
2S-O_CAA,2_11950,F,3,F03,Meas A,637.0
1S-O_CAA,2_11950,F,4,F04,Meas A,891.0
3P-O_CAA,2_11950,F,5,F05,Meas A,571.0
2P-O_CAA,2_11950,F,6,F06,Meas A,621.0
1P-O_CAA,2_11950,F,7,F07,Meas A,809.0
3M-O_CAA,2_11950,F,8,F08,Meas A,472.0
2M-O_CAA,2_11950,F,9,F09,Meas A,787.0
1M-O_CAA,2_11950,F,10,F10,Meas A,744.0
3S_Glc,2_11950,G,2,G02,Meas A,159.0
2S_Glc,2_11950,G,3,G03,Meas A,326.0
1S_Glc,2_11950,G,4,G04,Meas A,145.0
3P_Glc,2_11950,G,5,G05,Meas A,175.0
2P_Glc,2_11950,G,6,G06,Meas A,188.0
1P_Glc,2_11950,G,7,G07,Meas A,164.0
3M_Glc,2_11950,G,8,G08,Meas A,111.0
2M_Glc,2_11950,G,9,G09,Meas A,226.0
1M_Glc,2_11950,G,10,G10,Meas A,194.0
3S_CAA,2_11950,H,2,H02,Meas A,664.0
2S_CAA,2_11950,H,3,H03,Meas A,1509.0
1S_CAA,2_11950,H,4,H04,Meas A,869.0
3P_CAA,2_11950,H,5,H05,Meas A,536.0
2P_CAA,2_11950,H,6,H06,Meas A,974.0
1P_CAA,2_11950,H,7,H07,Meas A,780.0
3M_CAA,2_11950,H,8,H08,Meas A,549.0
2M_CAA,2_11950,H,9,H09,Meas A,1321.0
1M_CAA,2_11950,H,10,H10,Meas A,880.0
3S-H_Glc,2_11950,A,2,A02,Meas B,0.075
2S-H_Glc,2_11950,A,3,A03,Meas B,0.085
1S-H_Glc,2_11950,A,4,A04,Meas B,0.07
3P-H_Glc,2_11950,A,5,A05,Meas B,0.079
2P-H_Glc,2_11950,A,6,A06,Meas B,0.088
1P-H_Glc,2_11950,A,7,A07,Meas B,0.071
3M-H_Glc,2_11950,A,8,A08,Meas B,0.065
2M-H_Glc,2_11950,A,9,A09,Meas B,0.073
1M-H_Glc,2_11950,A,10,A10,Meas B,0.071
Glc_Spc,2_11950,A,11,A11,Meas B,0.036
3S-H_CAA,2_11950,B,2,B02,Meas B,0.41
2S-H_CAA,2_11950,B,3,B03,Meas B,0.476
1S-H_CAA,2_11950,B,4,B04,Meas B,0.39
3P-H_CAA,2_11950,B,5,B05,Meas B,0.427
2P-H_CAA,2_11950,B,6,B06,Meas B,0.42
1P-H_CAA,2_11950,B,7,B07,Meas B,0.434
3M-H_CAA,2_11950,B,8,B08,Meas B,0.403
2M-H_CAA,2_11950,B,9,B09,Meas B,0.425
1M-H_CAA,2_11950,B,10,B10,Meas B,0.386
CAA_Spc,2_11950,B,11,B11,Meas B,0.035
3S-M_Glc,2_11950,C,2,C02,Meas B,0.071
2S-M_Glc,2_11950,C,3,C03,Meas B,0.075
1S-M_CAA,2_11950,C,4,C04,Meas B,0.404
3P-M_Glc,2_11950,C,5,C05,Meas B,0.071
2P-M_Glc,2_11950,C,6,C06,Meas B,0.082
1P-M_Glc,2_11950,C,7,C07,Meas B,0.066
3M-M_Glc,2_11950,C,8,C08,Meas B,0.078
2M-M_Glc,2_11950,C,9,C09,Meas B,0.073
1M-M_Glc,2_11950,C,10,C10,Meas B,0.066
Glc,2_11950,C,11,C11,Meas B,0.038
3S-M_CAA,2_11950,D,2,D02,Meas B,0.336
2S-M_CAA,2_11950,D,3,D03,Meas B,0.414
1S-M_Glc,2_11950,D,4,D04,Meas B,0.054
3P-M_CAA,2_11950,D,5,D05,Meas B,0.406
2P-M_CAA,2_11950,D,6,D06,Meas B,0.416
1P-M_CAA,2_11950,D,7,D07,Meas B,0.416
3M-M_CAA,2_11950,D,8,D08,Meas B,0.413
2M-M_CAA,2_11950,D,9,D09,Meas B,0.407
1M-M_CAA,2_11950,D,10,D10,Meas B,0.406
CAA,2_11950,D,11,D11,Meas B,0.036
3S-O_Glc,2_11950,E,2,E02,Meas B,0.055
2S-O_Glc,2_11950,E,3,E03,Meas B,0.068
1S-O_Glc,2_11950,E,4,E04,Meas B,0.062
3P-O_Glc,2_11950,E,5,E05,Meas B,0.049
2P-O_Glc,2_11950,E,6,E06,Meas B,0.045
